source_ip dest_ip dest_port BLOCK/ALLOW
0.0.0.0/0                10.55.163.0/24              ALL                     BLOCK
10.55.163.0/24           0.0.0.0/0                   ALL                     ALLOW
0.0.0.0/0                10.55.163.141               443/tcp                 ALLOW
0.0.0.0/0                10.55.163.141               6443/tcp                ALLOW
0.0.0.0/0                10.55.163.141               80/tcp                  ALLOW
10.55.53.0/24            10.55.163.141               12200/udp               ALLOW
10.55.54.0/24            10.55.163.141               12200/udp               ALLOW
10.55.8.192/26           10.55.163.141               12200/udp               ALLOW
10.55.63.192/26          10.55.163.141               12200/udp               ALLOW
10.55.53.0/24            10.55.163.141               12201/udp               ALLOW
10.55.54.0/24            10.55.163.141               12201/udp               ALLOW
10.55.8.192/26           10.55.163.141               12201/udp               ALLOW
10.55.63.192/26          10.55.163.141               12201/udp               ALLOW
10.89.213.10/32          10.55.163.141               3304/tcp                ALLOW
10.89.213.19/32          10.55.163.141               3304/tcp                ALLOW
10.106.22.2/32           10.55.163.141               3305/tcp                ALLOW
10.106.22.4/32           10.55.163.141               3305/tcp                ALLOW
131.237.94.132/32        10.55.163.141               3305/tcp                ALLOW
10.112.10.16/32          10.55.163.141               3306/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3306/tcp                ALLOW
10.112.10.53/32          10.55.163.141               3307/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3307/tcp                ALLOW
10.124.20.2/32           10.55.163.141               3308/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3308/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3309/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3310/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3311/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3312/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3313/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3314/tcp                ALLOW
10.113.65.131/32         10.55.163.141               3315/tcp                ALLOW
10.113.66.190/32         10.55.163.141               3315/tcp                ALLOW
10.113.96.198/32         10.55.163.141               3315/tcp                ALLOW
10.113.97.251/32         10.55.163.141               3315/tcp                ALLOW
10.113.99.139/32         10.55.163.141               3315/tcp                ALLOW
10.55.40.192/26          10.55.163.141               3315/tcp                ALLOW
10.55.6.192/26           10.55.163.141               3315/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3315/tcp                ALLOW
131.237.94.132/32        10.55.163.141               3315/tcp                ALLOW
145.31.254.93/32         10.55.163.141               3315/tcp                ALLOW
0.0.0.0/0                10.55.163.141               3316/tcp                ALLOW
10.113.97.251/32         10.55.163.141               3317/tcp                ALLOW
10.113.66.190/32         10.55.163.141               3317/tcp                ALLOW
10.113.99.139/32         10.55.163.141               3317/tcp                ALLOW
10.114.234.0/24          10.55.163.141               3371/tcp                ALLOW
10.55.8.192/26           10.55.163.141               3375/tcp                ALLOW
10.55.54.192/26          10.55.163.141               3375/tcp                ALLOW
10.55.53.0/24            10.55.163.141               3378/tcp                ALLOW
10.55.54.192/26          10.55.163.141               3379/tcp                ALLOW
10.55.54.192/26          10.55.163.141               3380/tcp                ALLOW
10.55.8.192/26           10.55.163.141               3379/tcp                ALLOW
10.55.8.192/26           10.55.163.141               3380/tcp                ALLOW
10.114.242.73/32         10.55.163.141               3388/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3390/tcp                ALLOW
145.31.254.29/32         10.55.163.141               3390/tcp                ALLOW
145.31.254.105/32        10.55.163.141               3391/tcp                ALLOW
145.31.254.138/32        10.55.163.141               3391/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3391/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3392/tcp                ALLOW
35.205.122.156/32        10.55.163.141               3392/tcp                ALLOW
145.31.255.1/32          10.55.163.141               3393/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3393/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3394/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3395/tcp                ALLOW
10.0.23.89/32            10.55.163.141               3395/tcp                ALLOW
185.34.169.200/32        10.55.163.141               3395/tcp                ALLOW
10.55.53.0/24            10.55.163.141               3396/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3396/tcp                ALLOW
10.55.9.192/26           10.55.163.141               3396/tcp                ALLOW
10.74.85.2/32            10.55.163.141               3397/tcp                ALLOW
149.249.250.129/32       10.55.163.141               3397/tcp                ALLOW
10.112.10.16/32          10.55.163.141               3406/tcp                ALLOW
10.112.10.53/32          10.55.163.141               3407/tcp                ALLOW
10.124.20.2/32           10.55.163.141               3408/tcp                ALLOW
10.113.65.131/32         10.55.163.141               3415/tcp                ALLOW
10.113.97.251/32         10.55.163.141               3415/tcp                ALLOW
145.31.254.93/32         10.55.163.141               3415/tcp                ALLOW
10.113.65.130/32         10.55.163.141               3415/tcp                ALLOW
10.55.40.192/26          10.55.163.141               3415/tcp                ALLOW
10.55.6.192/26           10.55.163.141               3415/tcp                ALLOW
10.113.66.190/32         10.55.163.141               3415/tcp                ALLOW
10.113.65.131/32         10.55.163.141               3417/tcp                ALLOW
10.113.66.190/32         10.55.163.141               3417/tcp                ALLOW
10.89.2.8/32             10.55.163.141               3420/tcp                ALLOW
10.89.2.10/32            10.55.163.141               3420/tcp                ALLOW
10.89.2.8/32             10.55.163.141               3421/tcp                ALLOW
10.89.2.10/32            10.55.163.141               3421/tcp                ALLOW
10.89.2.8/32             10.55.163.141               3422/tcp                ALLOW
10.89.2.10/32            10.55.163.141               3422/tcp                ALLOW
10.106.26.1/32           10.55.163.141               3440/tcp                ALLOW
10.106.26.2/32           10.55.163.141               3440/tcp                ALLOW
10.106.26.1/32           10.55.163.141               3441/tcp                ALLOW
10.106.26.2/32           10.55.163.141               3441/tcp                ALLOW
10.106.26.1/32           10.55.163.141               3442/tcp                ALLOW
10.106.26.2/32           10.55.163.141               3442/tcp                ALLOW
10.89.213.10/32          10.55.163.141               3450/tcp                ALLOW
10.89.213.19/32          10.55.163.141               3450/tcp                ALLOW
10.89.213.10/32          10.55.163.141               3451/tcp                ALLOW
10.89.213.19/32          10.55.163.141               3451/tcp                ALLOW
10.89.213.10/32          10.55.163.141               3452/tcp                ALLOW
10.89.213.19/32          10.55.163.141               3452/tcp                ALLOW
10.106.22.2/32           10.55.163.141               3460/tcp                ALLOW
10.106.22.4/32           10.55.163.141               3460/tcp                ALLOW
10.106.22.2/32           10.55.163.141               3461/tcp                ALLOW
10.106.22.4/32           10.55.163.141               3461/tcp                ALLOW
10.106.22.2/32           10.55.163.141               3462/tcp                ALLOW
10.106.22.4/32           10.55.163.141               3462/tcp                ALLOW
10.116.196.0/24          10.55.163.141               3471/tcp                ALLOW
10.55.8.192/26           10.55.163.141               3475/tcp                ALLOW
10.55.8.192/26           10.55.163.141               3479/tcp                ALLOW
